brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,sold per day,Total Revenue,Total Visitors 
Givenchy Beauty,Middle East,Doha,Luxury Mall,Mobile Pop-Up Truck,11/21/24,12/13/24,22,LE-R9JXFTY4,Givenchy Beauty Noir Blush,32.27,1593,4634,98.6,210.6363636,149539.18,35046
Shiseido,Asia-Pacific,Shanghai,Luxury Mall,Standalone Pop-Up,5/30/24,8/15/24,77,LE-ZDZCLPE2,Shiseido Glow Highlighter,60.84,2022,3920,78.54,50.90909091,238492.8,155694
Armani Beauty,Middle East,Jeddah,Luxury Mall,Mall Kiosk,10/18/24,12/10/24,53,LE-9IUTMMUE,Armani Beauty Pearl Lipstick,50.61,1122,1328,69.35,25.05660377,67210.08,59466
Fenty Beauty,Asia-Pacific,Singapore,High-Street,Standalone Pop-Up,3/13/25,6/2/25,81,LE-NGUURRU4,Fenty Beauty Opulence Eyeshadow Palette,73.83,1894,2574,81.02,31.77777778,190038.42,153414
La Prairie,North America,Toronto,Luxury Mall,Shop-in-Shop,8/10/24,10/24/24,75,LE-ITSSJPKE,La Prairie Éclat Highlighter,68.92,730,3558,85.16,47.44,245217.36,54750
Shiseido,Asia-Pacific,Seoul,Luxury Mall,Standalone Pop-Up,2/22/25,5/19/25,86,LE-DIHEYG4C,Shiseido Velvet Primer,52.09,1871,787,65.97,9.151162791,40994.83,160906
Estée Lauder,Middle East,Riyadh,Airport Duty-Free,Shop-in-Shop,3/17/24,6/13/24,88,LE-5A101AGA,Estée Lauder Opulence Primer,46.56,1696,2508,58.75,28.5,116772.48,149248
Hermès Beauty,Middle East,Abu Dhabi,Art/Design District,Flash Event,4/10/25,7/5/25,86,LE-DKDGYRST,Hermès Beauty Rouge Serum,256.19,1237,2155,92.41,25.05813953,552089.45,106382
MAC Cosmetics,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,7/15/24,9/26/24,73,LE-WUNL1PRK,MAC Cosmetics Velvet Setting Powder,59.72,1357,197,59.52,2.698630137,11764.84,99061
Shiseido,Asia-Pacific,Hong Kong,Art/Design District,Mobile Pop-Up Truck,4/16/25,6/2/25,47,LE-MZW4THMT,Shiseido Pearl Primer,42.38,767,969,68.29,20.61702128,41066.22,36049
Chanel,North America,Chicago,Airport Duty-Free,Standalone Pop-Up,9/29/24,10/31/24,32,LE-W55O08HP,Chanel Glow Eyeshadow Palette,61.21,2236,3404,73.98,106.375,208358.84,71552
Clé de Peau Beauté,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,8/15/24,10/18/24,64,LE-0TVVLHSI,Clé de Peau Beauté Mirage Highlighter,81.11,1953,772,58.71,12.0625,62616.92,124992
Charlotte Tilbury,Asia-Pacific,Hong Kong,Luxury Mall,Mobile Pop-Up Truck,3/10/25,5/22/25,73,LE-39J5BWCH,Charlotte Tilbury Mirage Primer,79.8,1778,2099,77.91,28.75342466,167500.2,129794
NARS,Europe,London,Art/Design District,Flash Event,11/1/24,11/11/24,10,LE-3UZQNNUS,NARS Glow Eyeshadow Palette,55.92,704,3040,70.73,304,169996.8,7040
Givenchy Beauty,Asia-Pacific,Hong Kong,Airport Duty-Free,Mobile Pop-Up Truck,1/30/25,2/6/25,7,LE-NF3P9BES,Givenchy Beauty Lumière Fragrance,232.01,1243,1858,63.48,265.4285714,431074.58,8701
Estée Lauder,Europe,Paris,Luxury Mall,Shop-in-Shop,9/24/24,10/19/24,25,LE-04IMVEC8,Estée Lauder Glow Blush,47.8,1084,1463,90.09,58.52,69931.4,27100
Sisley-Paris,Europe,London,Luxury Mall,Mobile Pop-Up Truck,7/26/24,10/8/24,74,LE-GI3E7RJM,Sisley-Paris Mirage Setting Powder,75.82,1497,2009,48.93,27.14864865,152322.38,110778
Hermès Beauty,Europe,Paris,Luxury Mall,Flash Event,8/8/24,10/24/24,77,LE-AQ2FIV23,Hermès Beauty Noir Eyeshadow Palette,143.46,1868,767,48.51,9.961038961,110033.82,143836
Huda Beauty,North America,Miami,Art/Design District,Standalone Pop-Up,5/3/25,6/21/25,49,LE-EAUN55FK,Huda Beauty Mirage Mascara,48.2,1230,3921,83.6,80.02040816,188992.2,60270
Armani Beauty,Latin America,Buenos Aires,Department Store Atrium,Standalone Pop-Up,7/3/25,7/24/25,21,LE-AU99AG00,Armani Beauty Noir Highlighter,58.26,1656,821,92.25,39.0952381,47831.46,34776
MAC Cosmetics,Middle East,Dubai,Department Store Atrium,Mall Kiosk,2/20/25,5/19/25,88,LE-BTTII2PZ,MAC Cosmetics Lumière Eyeshadow Palette,58.02,1742,674,69.34,7.659090909,39105.48,153296
Tom Ford Beauty,Latin America,Bogotá,High-Street,Standalone Pop-Up,9/1/24,9/13/24,12,LE-VZN3C35Y,Tom Ford Beauty Glow Fragrance,226.14,2656,2370,82.32,197.5,535951.8,31872
Armani Beauty,Europe,Paris,High-Street,Standalone Pop-Up,6/24/24,8/1/24,38,LE-B9JWQ31V,Armani Beauty Opulence Setting Powder,80.24,1770,1522,44.65,40.05263158,122125.28,67260
Lancôme,Europe,Madrid,Art/Design District,Shop-in-Shop,9/25/24,11/28/24,64,LE-6U6UQY1T,Lancôme Glow Serum,293.29,827,1716,67.14,26.8125,503285.64,52928
Estée Lauder,Latin America,Lima,Luxury Mall,Flash Event,12/5/24,12/22/24,17,LE-JGU79HLZ,Estée Lauder Rouge Mascara,35.08,1450,245,87.5,14.41176471,8594.6,24650
Hermès Beauty,Latin America,Lima,Art/Design District,Mall Kiosk,4/13/24,5/6/24,23,LE-LTJQQ79K,Hermès Beauty Noir Setting Powder,69.41,1174,1326,46.62,57.65217391,92037.66,27002
Bobbi Brown,Latin America,Mexico City,Luxury Mall,Flash Event,5/15/24,7/25/24,71,LE-72IOIR3F,Bobbi Brown Mirage Primer,68.24,785,1897,92.4,26.71830986,129451.28,55735
YSL Beauty,North America,Chicago,Airport Duty-Free,Flash Event,8/11/24,9/1/24,21,LE-VPMD0IZT,YSL Beauty Glow Eyeshadow Palette,78.74,1221,207,76.38,9.857142857,16299.18,25641
Fenty Beauty,Europe,Milan,Luxury Mall,Mall Kiosk,4/12/24,5/9/24,27,LE-N6SXRR7F,Fenty Beauty Opulence Fragrance,287.33,1498,2487,63.07,92.11111111,714589.71,40446
Chanel,Latin America,Buenos Aires,High-Street,Shop-in-Shop,5/22/24,7/26/24,65,LE-S68ECEFZ,Chanel Opulence Fragrance,143.73,1005,3485,69.87,53.61538462,500899.05,65325
Tom Ford Beauty,Asia-Pacific,Tokyo,High-Street,Standalone Pop-Up,3/16/24,5/27/24,72,LE-65AAGHFZ,Tom Ford Beauty Éclat Lipstick,43.92,2162,968,87.52,13.44444444,42514.56,155664
Givenchy Beauty,Europe,Berlin,High-Street,Shop-in-Shop,6/22/25,7/19/25,27,LE-AI8J09Q6,Givenchy Beauty Rouge Lipstick,67.22,1045,3351,76.09,124.1111111,225254.22,28215
YSL Beauty,Europe,Milan,Department Store Atrium,Mobile Pop-Up Truck,10/8/24,11/1/24,24,LE-FGQH8GXW,YSL Beauty Mirage Mascara,57.63,1558,1965,87.33,81.875,113242.95,37392
Armani Beauty,Middle East,Doha,Department Store Atrium,Standalone Pop-Up,3/6/25,6/1/25,87,LE-PZE72E6U,Armani Beauty Rouge Blush,42.56,1720,595,94.15,6.83908046,25323.2,149640
Hermès Beauty,Europe,Madrid,High-Street,Standalone Pop-Up,6/9/24,8/16/24,68,LE-U7J9MXG2,Hermès Beauty Lumière Highlighter,41.51,1028,2488,57.87,36.58823529,103276.88,69904
Hourglass,Middle East,Riyadh,Art/Design District,Shop-in-Shop,3/18/24,6/16/24,90,LE-6LB3HXWZ,Hourglass Glow Fragrance,287.97,862,1527,75.44,16.96666667,439730.19,77580
Tom Ford Beauty,Middle East,Abu Dhabi,Art/Design District,Standalone Pop-Up,5/11/25,8/1/25,82,LE-5DNVJRQD,Tom Ford Beauty Velvet Fragrance,395.26,930,876,94.19,10.68292683,346247.76,76260
Lancôme,Latin America,São Paulo,Department Store Atrium,Standalone Pop-Up,5/22/24,7/29/24,68,LE-T53XWPF8,Lancôme Pearl Fragrance,235.07,734,2321,51.74,34.13235294,545597.47,49912
Armani Beauty,North America,Miami,Department Store Atrium,Shop-in-Shop,11/9/24,12/22/24,43,LE-1CQX4T3N,Armani Beauty Mirage Primer,76.18,1778,3570,82.89,83.02325581,271962.6,76454
Bobbi Brown,Latin America,Bogotá,Airport Duty-Free,Shop-in-Shop,5/3/25,5/26/25,23,LE-UMYEYJ57,Bobbi Brown Éclat Highlighter,55.21,1224,747,58.54,32.47826087,41241.87,28152
Lancôme,Europe,Milan,High-Street,Shop-in-Shop,1/9/25,2/26/25,48,LE-JPUM1NSP,Lancôme Lumière Primer,71.06,2553,614,57.06,12.79166667,43630.84,122544
Estée Lauder,Latin America,Mexico City,High-Street,Mall Kiosk,3/30/24,5/28/24,59,LE-KTQ0RRJM,Estée Lauder Noir Blush,55.53,2243,1523,68.48,25.81355932,84572.19,132337
Chanel,North America,New York,Art/Design District,Mobile Pop-Up Truck,2/9/25,4/26/25,76,LE-7JLQDZ4B,Chanel Éclat Foundation,101.96,729,3723,83.46,48.98684211,379597.08,55404
Pat McGrath Labs,Middle East,Riyadh,High-Street,Mall Kiosk,7/9/24,8/17/24,39,LE-N4QSW0BT,Pat McGrath Labs Éclat Blush,52.34,1890,1173,53.83,30.07692308,61394.82,73710
YSL Beauty,Asia-Pacific,Hong Kong,Airport Duty-Free,Flash Event,9/16/24,10/28/24,42,LE-A4DGE21D,YSL Beauty Noir Highlighter,76.52,1474,4092,96.67,97.42857143,313119.84,61908
Dior,Europe,Berlin,High-Street,Mall Kiosk,3/8/24,4/21/24,44,LE-SMBE7AZ2,Dior Glow Setting Powder,53.59,2843,2706,88.93,61.5,145014.54,125092
Guerlain,North America,Miami,Department Store Atrium,Standalone Pop-Up,7/16/25,7/21/25,5,LE-Q6ULWUV4,Guerlain Noir Highlighter,42.71,1445,2701,91.93,540.2,115359.71,7225
Fenty Beauty,Latin America,Lima,Airport Duty-Free,Standalone Pop-Up,3/14/24,4/29/24,46,LE-8UUD658V,Fenty Beauty Rouge Lipstick,62,971,2656,54.94,57.73913043,164672,44666
Tom Ford Beauty,Asia-Pacific,Tokyo,Luxury Mall,Mobile Pop-Up Truck,5/5/24,6/20/24,46,LE-E9VLRUPV,Tom Ford Beauty Éclat Setting Powder,52.68,1428,1837,47.57,39.93478261,96773.16,65688
Dior,Latin America,São Paulo,Art/Design District,Mobile Pop-Up Truck,7/17/25,8/10/25,24,LE-HH2AGFDR,Dior Glow Blush,45.91,674,1212,55.75,50.5,55642.92,16176
Charlotte Tilbury,Europe,Berlin,Luxury Mall,Mobile Pop-Up Truck,2/20/25,3/16/25,24,LE-PA1OKYJT,Charlotte Tilbury Velvet Eyeshadow Palette,65.07,1694,2376,66.89,99,154606.32,40656
Guerlain,Asia-Pacific,Shanghai,Department Store Atrium,Flash Event,1/16/25,2/20/25,35,LE-BHNXJOJP,Guerlain Opulence Eyeshadow Palette,93.53,1076,681,64.67,19.45714286,63693.93,37660
Shiseido,Europe,Milan,Department Store Atrium,Flash Event,8/26/24,10/10/24,45,LE-RHNTG4IO,Shiseido Éclat Fragrance,339.17,1451,2981,71.11,66.24444444,1011065.77,65295
Shiseido,Latin America,Bogotá,Luxury Mall,Flash Event,5/13/25,7/15/25,63,LE-GVEGLPF6,Shiseido Éclat Serum,177.17,2055,1194,95.44,18.95238095,211540.98,129465
Fenty Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,5/10/25,5/14/25,4,LE-BQ6PS1IU,Fenty Beauty Velvet Highlighter,79.08,1241,866,72.59,216.5,68483.28,4964
MAC Cosmetics,Latin America,Lima,High-Street,Mall Kiosk,9/3/24,9/15/24,12,LE-Z8RK75B0,MAC Cosmetics Satin Lipstick,68.08,1988,3110,71.74,259.1666667,211728.8,23856
Givenchy Beauty,North America,Chicago,Luxury Mall,Shop-in-Shop,1/30/25,2/25/25,26,LE-DQDF4Z34,Givenchy Beauty Mirage Eyeshadow Palette,140.77,782,1842,53.27,70.84615385,259298.34,20332
Shiseido,Europe,Madrid,High-Street,Mall Kiosk,1/22/25,2/14/25,23,LE-NOJ87Y1I,Shiseido Opulence Fragrance,183.49,2643,2572,69.99,111.826087,471936.28,60789
YSL Beauty,North America,Los Angeles,Luxury Mall,Standalone Pop-Up,5/11/24,5/29/24,18,LE-PR35YXTU,YSL Beauty Noir Eyeshadow Palette,56.9,1602,3707,93.82,205.9444444,210928.3,28836
Lancôme,North America,Chicago,Airport Duty-Free,Shop-in-Shop,12/18/24,1/9/25,22,LE-4MNAF30G,Lancôme Mirage Setting Powder,78.66,935,1969,52.17,89.5,154881.54,20570
YSL Beauty,North America,Los Angeles,Department Store Atrium,Flash Event,6/19/25,7/8/25,19,LE-QSRT3OUI,YSL Beauty Éclat Serum,201.69,1661,1102,79.91,58,222262.38,31559
Hourglass,Europe,Berlin,High-Street,Mobile Pop-Up Truck,5/10/24,7/7/24,58,LE-YWFQDW31,Hourglass Mirage Serum,152.15,1003,1343,86.65,23.15517241,204337.45,58174
MAC Cosmetics,Middle East,Abu Dhabi,Art/Design District,Mobile Pop-Up Truck,4/13/24,6/7/24,55,LE-Y6SXCHHP,MAC Cosmetics Mirage Fragrance,201.89,628,1322,49.4,24.03636364,266898.58,34540
YSL Beauty,Europe,London,Airport Duty-Free,Shop-in-Shop,1/20/25,3/24/25,63,LE-LJ3NHP4P,YSL Beauty Rouge Eyeshadow Palette,114.03,2067,699,69.21,11.0952381,79706.97,130221
La Prairie,Asia-Pacific,Hong Kong,Art/Design District,Mall Kiosk,6/4/24,8/25/24,82,LE-LSTXH42P,La Prairie Pearl Eyeshadow Palette,100.34,853,4016,89.52,48.97560976,402965.44,69946
Charlotte Tilbury,Latin America,Lima,Airport Duty-Free,Shop-in-Shop,11/21/24,2/17/25,88,LE-ZVZBD66X,Charlotte Tilbury Rouge Fragrance,232.19,1437,1085,92.66,12.32954545,251926.15,126456
Huda Beauty,Europe,Madrid,Airport Duty-Free,Mall Kiosk,8/20/24,9/14/24,25,LE-GG5ON9IH,Huda Beauty Pearl Blush,65.42,1056,686,49.78,27.44,44878.12,26400
Fenty Beauty,Asia-Pacific,Singapore,Airport Duty-Free,Flash Event,3/7/25,5/18/25,72,LE-ACK7DQ9H,Fenty Beauty Pearl Setting Powder,46.2,2003,334,89.54,4.638888889,15430.8,144216
Hourglass,North America,Miami,Luxury Mall,Flash Event,12/8/24,1/23/25,46,LE-1VRNDNQE,Hourglass Satin Fragrance,396.49,1366,3369,70.84,73.23913043,1335774.81,62836
Dior,North America,New York,High-Street,Flash Event,11/19/24,12/16/24,27,LE-KA4SCKB9,Dior Mirage Foundation,58.87,2476,561,61.72,20.77777778,33026.07,66852
Charlotte Tilbury,Middle East,Riyadh,Luxury Mall,Flash Event,10/1/24,10/10/24,9,LE-CK3XA4PE,Charlotte Tilbury Mirage Blush,52.8,701,1511,68.22,167.8888889,79780.8,6309
Clé de Peau Beauté,Middle East,Abu Dhabi,Airport Duty-Free,Mobile Pop-Up Truck,10/8/24,11/1/24,24,LE-CJLM37KD,Clé de Peau Beauté Velvet Mascara,70.73,1138,2052,76.91,85.5,145137.96,27312
Chanel,North America,Unknown,High-Street,Flash Event,3/9/25,6/6/25,89,LE-QH2GBXH3,Chanel Opulence Blush,43.65,2717,1306,56.44,14.6741573,57006.9,241813
Charlotte Tilbury,Middle East,Riyadh,Luxury Mall,Mall Kiosk,1/10/25,2/16/25,37,LE-MFHGC1T5,Charlotte Tilbury Rouge Setting Powder,46.07,1118,1841,71.69,49.75675676,84814.87,41366
Estée Lauder,Middle East,Jeddah,Airport Duty-Free,Mall Kiosk,6/24/24,7/5/24,11,LE-EPUQMF39,Estée Lauder Opulence Foundation,59.78,2351,1981,58.96,180.0909091,118424.18,25861
NARS,Asia-Pacific,Hong Kong,High-Street,Mobile Pop-Up Truck,4/19/24,6/14/24,56,LE-3ONQCS9D,NARS Lumière Eyeshadow Palette,78.12,2624,2842,65.79,50.75,222017.04,146944
Clé de Peau Beauté,North America,Toronto,Department Store Atrium,Standalone Pop-Up,3/20/25,4/19/25,30,LE-C89J9C7K,Clé de Peau Beauté Éclat Serum,273.67,1619,582,55.11,19.4,159275.94,48570
Rare Beauty,Asia-Pacific,Hong Kong,High-Street,Flash Event,3/7/24,6/5/24,90,LE-JZRTBXOJ,Rare Beauty Satin Primer,38.17,1981,1583,72.12,17.58888889,60423.11,178290
NARS,North America,Toronto,Luxury Mall,Mall Kiosk,2/20/25,4/11/25,50,LE-8UZ7HNRE,NARS Éclat Setting Powder,42.95,1405,869,64.42,17.38,37323.55,70250
Estée Lauder,Europe,Unknown,Luxury Mall,Flash Event,7/5/24,8/16/24,42,LE-NO9CYOY2,Estée Lauder Rouge Fragrance,179.9,879,1054,61.17,25.0952381,189614.6,36918
Charlotte Tilbury,North America,Los Angeles,Airport Duty-Free,Shop-in-Shop,2/23/24,3/30/24,36,LE-50VKEVT5,Charlotte Tilbury Lumière Serum,123.14,2310,344,87.76,9.555555556,42360.16,83160
Pat McGrath Labs,Latin America,Buenos Aires,Luxury Mall,Flash Event,4/15/25,5/25/25,40,LE-0OTFX4ZF,Pat McGrath Labs Mirage Blush,62.29,1120,2106,53.3,52.65,131182.74,44800
YSL Beauty,Middle East,Riyadh,High-Street,Mobile Pop-Up Truck,6/16/25,7/15/25,29,LE-4CERQVZW,YSL Beauty Mirage Blush,63.49,1359,3866,86.24,133.3103448,245452.34,39411
Shiseido,Latin America,Buenos Aires,Airport Duty-Free,Flash Event,4/20/25,5/25/25,35,LE-P9S0YXH7,Shiseido Satin Highlighter,65.4,1544,3127,87.2,89.34285714,204505.8,54040
Clé de Peau Beauté,North America,Miami,High-Street,Mall Kiosk,10/7/24,11/13/24,37,LE-N55PZ42W,Clé de Peau Beauté Velvet Setting Powder,63.23,1427,1126,80.43,30.43243243,71196.98,52799
NARS,Latin America,Bogotá,Department Store Atrium,Shop-in-Shop,1/22/25,3/16/25,53,LE-7EL0MOIO,NARS Lumière Highlighter,68.36,1172,2857,79.01,53.90566038,195304.52,62116
Dior,North America,Los Angeles,Airport Duty-Free,Mobile Pop-Up Truck,12/12/24,12/28/24,16,LE-E1ZHGFAU,Dior Glow Setting Powder,72.19,1443,2416,62.87,151,174411.04,23088
YSL Beauty,Middle East,Riyadh,Airport Duty-Free,Shop-in-Shop,6/7/24,6/15/24,8,LE-RGJ3UO8A,YSL Beauty Satin Fragrance,94.42,2229,676,76.82,84.5,63827.92,17832
Clé de Peau Beauté,Asia-Pacific,Hong Kong,High-Street,Mobile Pop-Up Truck,1/28/25,2/13/25,16,LE-94RPO85M,Clé de Peau Beauté Glow Lipstick,63.36,1531,4499,90.07,281.1875,285056.64,24496
Armani Beauty,North America,Toronto,Art/Design District,Mobile Pop-Up Truck,5/18/24,7/28/24,71,LE-CXXSAP62,Armani Beauty Éclat Primer,53.87,1198,330,87.53,4.647887324,17777.1,85058
Charlotte Tilbury,Middle East,Dubai,Department Store Atrium,Standalone Pop-Up,7/3/24,8/23/24,51,LE-XIVQDYKK,Charlotte Tilbury Lumière Highlighter,58.44,1687,1904,85.27,37.33333333,111269.76,86037
Valentino Beauty,North America,Los Angeles,Art/Design District,Shop-in-Shop,3/7/24,5/20/24,74,LE-UV88S14A,Valentino Beauty Rouge Setting Powder,53.57,1356,3608,92.75,48.75675676,193280.56,100344
Guerlain,Europe,Milan,Art/Design District,Mobile Pop-Up Truck,6/16/24,8/30/24,75,LE-4ZIZMZ41,Guerlain Pearl Highlighter,54.74,439,859,55.89,11.45333333,47021.66,32925
Hourglass,Europe,Madrid,Airport Duty-Free,Standalone Pop-Up,11/8/24,11/18/24,10,LE-7A96VL2H,Hourglass Velvet Highlighter,41.44,825,2503,74.36,250.3,103724.32,8250
Guerlain,Europe,Paris,Luxury Mall,Standalone Pop-Up,4/16/25,5/20/25,34,LE-46GYTB5Z,Guerlain Mirage Eyeshadow Palette,116.23,1629,1992,51.97,58.58823529,231530.16,55386
Estée Lauder,Middle East,Abu Dhabi,Department Store Atrium,Mall Kiosk,8/26/24,8/30/24,4,LE-U6RZB1NT,Estée Lauder Pearl Highlighter,68.97,936,331,69.68,82.75,22829.07,3744
MAC Cosmetics,North America,Toronto,Department Store Atrium,Flash Event,4/10/25,6/29/25,80,LE-ADEUUXL6,MAC Cosmetics Pearl Foundation,73.49,579,1198,52.75,14.975,88041.02,46320
Hourglass,Europe,Madrid,Airport Duty-Free,Mall Kiosk,12/2/24,12/29/24,27,LE-GQ70RANI,Hourglass Glow Serum,291.26,2031,265,49.35,9.814814815,77183.9,54837
Sisley-Paris,Latin America,Buenos Aires,Art/Design District,Mobile Pop-Up Truck,9/23/24,9/28/24,5,LE-UBSESC4L,Sisley-Paris Mirage Primer,69.98,1316,1199,79.77,239.8,83906.02,6580
Givenchy Beauty,Middle East,Abu Dhabi,Airport Duty-Free,Shop-in-Shop,4/9/24,5/3/24,24,LE-RXZISZG4,Givenchy Beauty Mirage Setting Powder,83.57,1642,218,47.81,9.083333333,18218.26,39408
Armani Beauty,North America,Toronto,Art/Design District,Mall Kiosk,1/28/25,2/15/25,18,LE-VRD262LD,Armani Beauty Opulence Foundation,52.6,950,1320,85.71,73.33333333,69432,17100
Dior,Asia-Pacific,Singapore,Art/Design District,Flash Event,7/17/24,7/29/24,12,LE-53K9IZMD,Dior Satin Highlighter,39.79,975,263,92.61,21.91666667,10464.77,11700
Huda Beauty,Europe,London,High-Street,Mall Kiosk,11/18/24,2/12/25,86,LE-6Z7EG47M,Huda Beauty Glow Setting Powder,55.75,1546,2930,74.27,34.06976744,163347.5,132956
Tom Ford Beauty,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,11/5/24,11/9/24,4,LE-SOEF87SN,Tom Ford Beauty Rouge Highlighter,86.4,815,1502,62.35,375.5,129772.8,3260
Rare Beauty,Latin America,Mexico City,Art/Design District,Standalone Pop-Up,10/29/24,12/3/24,35,LE-MYF15375,Rare Beauty Noir Blush,50.48,493,1895,60.08,54.14285714,95659.6,17255
YSL Beauty,Latin America,Mexico City,Department Store Atrium,Standalone Pop-Up,9/14/24,10/26/24,42,LE-LL5XV1R2,YSL Beauty Mirage Highlighter,67.56,700,1419,67.16,33.78571429,95867.64,29400
Valentino Beauty,Latin America,Lima,Department Store Atrium,Standalone Pop-Up,10/8/24,12/2/24,55,LE-BC2NE495,Valentino Beauty Pearl Fragrance,335.26,927,3580,86.66,65.09090909,1200230.8,50985
Chanel,Latin America,Bogotá,Department Store Atrium,Mobile Pop-Up Truck,5/18/25,7/22/25,65,LE-FIP6KF26,Chanel Glow Serum,217.25,862,998,54.12,15.35384615,216815.5,56030
Shiseido,Asia-Pacific,Tokyo,Airport Duty-Free,Standalone Pop-Up,6/10/24,7/3/24,23,LE-7P5D96DF,Shiseido Satin Eyeshadow Palette,89.95,1786,386,77.2,16.7826087,34720.7,41078
Givenchy Beauty,Asia-Pacific,Seoul,Art/Design District,Mall Kiosk,3/9/24,4/16/24,38,LE-2J2HSCXH,Givenchy Beauty Velvet Lipstick,45,740,2422,77.43,63.73684211,108990,28120
Estée Lauder,North America,Toronto,High-Street,Mall Kiosk,7/18/24,8/5/24,18,LE-3S4BS7KV,Estée Lauder Velvet Blush,40.42,2270,4221,87.7,234.5,170612.82,40860
YSL Beauty,Latin America,Bogotá,Airport Duty-Free,Shop-in-Shop,11/22/24,2/7/25,77,LE-IGT4YPQE,YSL Beauty Rouge Eyeshadow Palette,104.78,1199,2672,59.76,34.7012987,279972.16,92323
Hourglass,Latin America,Lima,Luxury Mall,Standalone Pop-Up,6/8/25,7/14/25,36,LE-1UM2THYR,Hourglass Éclat Highlighter,63.46,1829,1768,69.66,49.11111111,112197.28,65844
La Prairie,Middle East,Riyadh,Department Store Atrium,Shop-in-Shop,3/23/25,4/1/25,9,LE-PM1W8Y3N,La Prairie Opulence Blush,55.74,1516,2474,66.85,274.8888889,137900.76,13644
MAC Cosmetics,Middle East,Doha,Airport Duty-Free,Mall Kiosk,3/27/25,6/8/25,73,LE-4AWT8JZ5,MAC Cosmetics Glow Foundation,91.57,966,223,68.83,3.054794521,20420.11,70518
Sisley-Paris,Middle East,Doha,High-Street,Flash Event,3/16/25,6/8/25,84,LE-P8NMDVB8,Sisley-Paris Pearl Foundation,92.5,947,2457,88.19,29.25,227272.5,79548
Bobbi Brown,Europe,Berlin,Department Store Atrium,Standalone Pop-Up,3/11/24,3/24/24,13,LE-LB1PY2YT,Bobbi Brown Velvet Lipstick,49.54,1184,1626,44.63,125.0769231,80552.04,15392
Shiseido,North America,Los Angeles,Art/Design District,Standalone Pop-Up,3/5/25,3/27/25,22,LE-P3KN9HP9,Shiseido Opulence Fragrance,123.74,1292,2675,90.89,121.5909091,331004.5,28424
Lancôme,North America,Miami,Art/Design District,Standalone Pop-Up,5/31/25,7/12/25,42,LE-E871JIGZ,Lancôme Pearl Foundation,71.95,814,1718,50.2,40.9047619,123610.1,34188
Tom Ford Beauty,North America,New York,Luxury Mall,Flash Event,8/18/24,8/24/24,6,LE-D8OR7WGP,Tom Ford Beauty Mirage Highlighter,35.95,740,3213,69.82,535.5,115507.35,4440
Valentino Beauty,Latin America,Lima,High-Street,Shop-in-Shop,6/24/24,9/7/24,75,LE-JLVFG0FQ,Valentino Beauty Glow Primer,53.26,913,210,54.12,2.8,11184.6,68475
Dior,Asia-Pacific,Hong Kong,High-Street,Mall Kiosk,3/28/24,4/27/24,30,LE-N97T7Y05,Dior Noir Primer,66.85,1179,2437,65.6,81.23333333,162913.45,35370
Sisley-Paris,Europe,Berlin,Department Store Atrium,Mall Kiosk,12/31/24,3/13/25,72,LE-C1F7SL91,Sisley-Paris Opulence Fragrance,376.1,965,4539,93.57,63.04166667,1707117.9,69480
Bobbi Brown,North America,Chicago,Airport Duty-Free,Flash Event,4/7/24,4/26/24,19,LE-WPSJJQ93,Bobbi Brown Glow Eyeshadow Palette,87.41,2277,705,85.35,37.10526316,61624.05,43263
NARS,Europe,Paris,Airport Duty-Free,Mall Kiosk,4/15/25,7/14/25,90,LE-OQ62WFRP,NARS Opulence Serum,144.44,1173,4044,81.19,44.93333333,584115.36,105570
Lancôme,Europe,Madrid,Art/Design District,Flash Event,11/29/24,2/12/25,75,LE-1YNHYGQ7,Lancôme Glow Setting Powder,79.86,828,2562,57.52,34.16,204601.32,62100
Shiseido,North America,Miami,Department Store Atrium,Flash Event,4/19/25,5/12/25,23,LE-LZ0BVTRE,Shiseido Velvet Setting Powder,66.1,1138,2726,79.06,118.5217391,180188.6,26174
Sisley-Paris,Middle East,Riyadh,High-Street,Flash Event,6/28/24,9/15/24,79,LE-J0GFRA46,Sisley-Paris Noir Eyeshadow Palette,146.75,1263,670,63.87,8.481012658,98322.5,99777
Clé de Peau Beauté,Asia-Pacific,Tokyo,Department Store Atrium,Standalone Pop-Up,7/23/24,8/9/24,17,LE-N1FZ723S,Clé de Peau Beauté Opulence Serum,283.01,826,1768,77.34,104,500361.68,14042
Charlotte Tilbury,Asia-Pacific,Shanghai,Department Store Atrium,Mall Kiosk,8/15/24,8/24/24,9,LE-ON4Z57AU,Charlotte Tilbury Satin Blush,38.78,1524,474,52.2,52.66666667,18381.72,13716
Lancôme,Asia-Pacific,Hong Kong,Luxury Mall,Flash Event,3/19/25,6/13/25,86,LE-GOQTUWHZ,Lancôme Éclat Serum,264.47,1516,196,53.55,2.279069767,51836.12,130376
